name,avg,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울시,42,66,57,69,41,53,29,26,25,21,33,41,41
강남구,40,61,54,64,34,43,24,29,29,24,33,44,43
강동구,42,65,58,67,37,47,26,26,23,19,34,54,48
강북구,45,71,62,73,39,52,30,33,32,26,36,41,46
강서구,46,76,65,79,42,53,27,28,27,24,36,49,51
관악구,49,72,63,75,49,62,35,26,23,,44,45,43
광진구,43,65,56,69,43,57,32,27,28,24,32,41,37
구로구,42,67,56,72,47,61,31,16,23,20,26,44,40
금천구,39,64,57,66,38,45,25,25,24,19,28,35,37
노원구,40,68,58,67,37,48,27,29,26,21,26,35,38
도봉구,38,62,52,65,39,53,31,23,21,17,25,33,37
동대문구,39,61,55,64,33,43,22,21,22,16,44,42,43
동작구,43,64,59,68,39,48,29,30,30,27,34,43,46
마포구,46,73,61,77,50,65,36,25,23,16,43,41,40
서대문구,42,66,56,69,44,59,30,26,24,22,28,35,40
서초구,44,63,54,74,49,62,32,24,23,19,29,46,47
성동구,45,75,66,80,46,55,34,31,25,22,29,39,38
성북구,44,64,55,66,42,59,31,22,27,29,39,47,43
송파구,40,69,56,67,43,54,31,23,21,19,29,36,36
양천구,48,73,64,80,44,56,30,32,31,26,39,50,49
영등포구,44,70,60,76,52,64,37,26,24,21,29,36,35
용산구,34,54,49,59,31,41,20,21,24,17,24,32,36
은평구,42,64,57,70,44,57,31,26,26,22,29,35,40
종로구,38,60,51,61,35,44,24,25,24,20,28,38,42
중구,38,60,53,62,35,44,23,26,24,20,27,36,40
중랑구,38,58,51,60,32,42,22,22,21,15,46,39,42
min,31,,,,,,,,,,,,
max,50,,,,,,,,,,,,
